hash,rel,full,name,size,db_file_path_ref,text_ref,referenced,action,reason
3630875C328580A6F8A12AA49F98571F7BF8C229DDB5C7501CE3F42B2CB4DEFF,1\03b6bc16217a42c397cb684b0f9d3a69.jpg,C:\panda-gallery\originals\1\03b6bc16217a42c397cb684b0f9d3a69.jpg,03b6bc16217a42c397cb684b0f9d3a69.jpg,27736,False,True,True,keep,referenced_by_db_file_path_or_text
3630875C328580A6F8A12AA49F98571F7BF8C229DDB5C7501CE3F42B2CB4DEFF,1\b04e2803218047079a51aa19dffb7287.jpg,C:\panda-gallery\originals\1\b04e2803218047079a51aa19dffb7287.jpg,b04e2803218047079a51aa19dffb7287.jpg,27736,True,False,True,keep,referenced_by_db_file_path_or_text
3630875C328580A6F8A12AA49F98571F7BF8C229DDB5C7501CE3F42B2CB4DEFF,2\38dafccf28654ea38174ca6c48e74be8.jpg,C:\panda-gallery\originals\2\38dafccf28654ea38174ca6c48e74be8.jpg,38dafccf28654ea38174ca6c48e74be8.jpg,27736,True,True,True,keep,referenced_by_db_file_path_or_text
03A9EB686F690458B6C1089E4297441DF4AB9767143A903026E6663BFB2C2354,1\046eafcc62e64128a29a4d3c6dfd9ae5.jpg,C:\panda-gallery\originals\1\046eafcc62e64128a29a4d3c6dfd9ae5.jpg,046eafcc62e64128a29a4d3c6dfd9ae5.jpg,17154,True,True,True,keep,referenced_by_db_file_path_or_text
03A9EB686F690458B6C1089E4297441DF4AB9767143A903026E6663BFB2C2354,2\f836ff5737554dfca928805bf1927ea9.jpg,C:\panda-gallery\originals\2\f836ff5737554dfca928805bf1927ea9.jpg,f836ff5737554dfca928805bf1927ea9.jpg,17154,True,False,True,keep,referenced_by_db_file_path_or_text
03A9EB686F690458B6C1089E4297441DF4AB9767143A903026E6663BFB2C2354,1\57a9b5bda197432c83e36c33593ca46f.jpg,C:\panda-gallery\originals\1\57a9b5bda197432c83e36c33593ca46f.jpg,57a9b5bda197432c83e36c33593ca46f.jpg,17154,False,False,False,move_to_quarantine,exact_duplicate_unreferenced
A7B346FCA4C873BB3B97B101BA8DA315CB0706F27A51D84D1FDFE1BFBD61F115,1\0a3b3736c661461791bd040bfd74e6a2.jpg,C:\panda-gallery\originals\1\0a3b3736c661461791bd040bfd74e6a2.jpg,0a3b3736c661461791bd040bfd74e6a2.jpg,17068,True,True,True,keep,referenced_by_db_file_path_or_text
A7B346FCA4C873BB3B97B101BA8DA315CB0706F27A51D84D1FDFE1BFBD61F115,2\c6282a0b3170478f806591a7f568d56c.jpg,C:\panda-gallery\originals\2\c6282a0b3170478f806591a7f568d56c.jpg,c6282a0b3170478f806591a7f568d56c.jpg,17068,False,False,False,move_to_quarantine,exact_duplicate_unreferenced
01E0723FDE0BBBEE25DBC80F609E0C2DA1C5E3DD72CDCC1D9BC2799E0D46E1BC,1\0c6349940dad4805b792af9e4974d3b0.jpg,C:\panda-gallery\originals\1\0c6349940dad4805b792af9e4974d3b0.jpg,0c6349940dad4805b792af9e4974d3b0.jpg,28251,True,True,True,keep,referenced_by_db_file_path_or_text
01E0723FDE0BBBEE25DBC80F609E0C2DA1C5E3DD72CDCC1D9BC2799E0D46E1BC,2\5e56597eea5f4fbe8ccf91470ed44ab4.jpg,C:\panda-gallery\originals\2\5e56597eea5f4fbe8ccf91470ed44ab4.jpg,5e56597eea5f4fbe8ccf91470ed44ab4.jpg,28251,False,False,False,move_to_quarantine,exact_duplicate_unreferenced
7C13792956A3B6D87F2EDE710DAF189EB65FE0C367BE84ABEAF3F9C26A6736CE,1\0c838620f6dc48b0b7bb5997eafcf251.jpg,C:\panda-gallery\originals\1\0c838620f6dc48b0b7bb5997eafcf251.jpg,0c838620f6dc48b0b7bb5997eafcf251.jpg,17031,False,True,True,keep,referenced_by_db_file_path_or_text
7C13792956A3B6D87F2EDE710DAF189EB65FE0C367BE84ABEAF3F9C26A6736CE,1\1836d8ce2830419eb39a75b60febc025.jpg,C:\panda-gallery\originals\1\1836d8ce2830419eb39a75b60febc025.jpg,1836d8ce2830419eb39a75b60febc025.jpg,17031,True,False,True,keep,referenced_by_db_file_path_or_text
7C13792956A3B6D87F2EDE710DAF189EB65FE0C367BE84ABEAF3F9C26A6736CE,2\7769943e66304990a7a83c8d896d4a0e.jpg,C:\panda-gallery\originals\2\7769943e66304990a7a83c8d896d4a0e.jpg,7769943e66304990a7a83c8d896d4a0e.jpg,17031,True,False,True,keep,referenced_by_db_file_path_or_text
FF4D83D783A5705A3FB7C77A23872DBBAC589DA6D2B532DCA83A42595C2583A1,1\0cbbcc4c83b34f7883c1da109fab5d7f.jpg,C:\panda-gallery\originals\1\0cbbcc4c83b34f7883c1da109fab5d7f.jpg,0cbbcc4c83b34f7883c1da109fab5d7f.jpg,30160,True,True,True,keep,referenced_by_db_file_path_or_text
FF4D83D783A5705A3FB7C77A23872DBBAC589DA6D2B532DCA83A42595C2583A1,2\878a6f97465a47f2b6250c1cf31f039b.jpg,C:\panda-gallery\originals\2\878a6f97465a47f2b6250c1cf31f039b.jpg,878a6f97465a47f2b6250c1cf31f039b.jpg,30160,True,False,True,keep,referenced_by_db_file_path_or_text
FF4D83D783A5705A3FB7C77A23872DBBAC589DA6D2B532DCA83A42595C2583A1,1\7d640fee6d43495cafed0fb89d7a9e04.jpg,C:\panda-gallery\originals\1\7d640fee6d43495cafed0fb89d7a9e04.jpg,7d640fee6d43495cafed0fb89d7a9e04.jpg,30160,False,False,False,move_to_quarantine,exact_duplicate_unreferenced
BEE71D3ED2BEA2A8764CEBC10A449789B274F47137C4BAB7119550F9DE16A2A7,1\0df1df481b3e49988b745711d291714c.jpg,C:\panda-gallery\originals\1\0df1df481b3e49988b745711d291714c.jpg,0df1df481b3e49988b745711d291714c.jpg,16169,True,True,True,keep,referenced_by_db_file_path_or_text
BEE71D3ED2BEA2A8764CEBC10A449789B274F47137C4BAB7119550F9DE16A2A7,2\b5ed4a39127e4d50850e970f3879d473.jpg,C:\panda-gallery\originals\2\b5ed4a39127e4d50850e970f3879d473.jpg,b5ed4a39127e4d50850e970f3879d473.jpg,16169,False,False,False,move_to_quarantine,exact_duplicate_unreferenced
299F5974CBC12F785F494CAC37479D7C3247FEF685B03E899877907322DF2D7E,1\111ddf0a07c24978b60750b68022e04e.jpg,C:\panda-gallery\originals\1\111ddf0a07c24978b60750b68022e04e.jpg,111ddf0a07c24978b60750b68022e04e.jpg,28642,True,True,True,keep,referenced_by_db_file_path_or_text
299F5974CBC12F785F494CAC37479D7C3247FEF685B03E899877907322DF2D7E,2\1bd7e0132d1448b19b7e2073174f8ccc.jpg,C:\panda-gallery\originals\2\1bd7e0132d1448b19b7e2073174f8ccc.jpg,1bd7e0132d1448b19b7e2073174f8ccc.jpg,28642,True,True,True,keep,referenced_by_db_file_path_or_text
299F5974CBC12F785F494CAC37479D7C3247FEF685B03E899877907322DF2D7E,1\cc61618f0a8b4a63adb329ca25d40122.jpg,C:\panda-gallery\originals\1\cc61618f0a8b4a63adb329ca25d40122.jpg,cc61618f0a8b4a63adb329ca25d40122.jpg,28642,False,False,False,move_to_quarantine,exact_duplicate_unreferenced
E233D9FF35E46FD40809D6B2EB1BDEFD2EB4C976442A3F56876CCAA730F592AD,1\153e671555f44bb0aefcb698e72c3686.jpg,C:\panda-gallery\originals\1\153e671555f44bb0aefcb698e72c3686.jpg,153e671555f44bb0aefcb698e72c3686.jpg,25659,True,False,True,keep,referenced_by_db_file_path_or_text
E233D9FF35E46FD40809D6B2EB1BDEFD2EB4C976442A3F56876CCAA730F592AD,2\efb77cd3165d4d14b2f60845e87949bd.jpg,C:\panda-gallery\originals\2\efb77cd3165d4d14b2f60845e87949bd.jpg,efb77cd3165d4d14b2f60845e87949bd.jpg,25659,True,False,True,keep,referenced_by_db_file_path_or_text
E233D9FF35E46FD40809D6B2EB1BDEFD2EB4C976442A3F56876CCAA730F592AD,1\e520a9daf0a64cfcbbcbcc1cfc4c83a9.jpg,C:\panda-gallery\originals\1\e520a9daf0a64cfcbbcbcc1cfc4c83a9.jpg,e520a9daf0a64cfcbbcbcc1cfc4c83a9.jpg,25659,False,False,False,move_to_quarantine,exact_duplicate_unreferenced
333D1E8EC32BE03286420526601F5D509BF5D9201AD05B6A51B23E57A1EB1B56,1\1713e66f280e47ffaa0682f79f46996e.jpg,C:\panda-gallery\originals\1\1713e66f280e47ffaa0682f79f46996e.jpg,1713e66f280e47ffaa0682f79f46996e.jpg,24565,True,False,True,keep,referenced_by_db_file_path_or_text
333D1E8EC32BE03286420526601F5D509BF5D9201AD05B6A51B23E57A1EB1B56,2\4a51e1b9e99c443995837d2c7530aa9b.jpg,C:\panda-gallery\originals\2\4a51e1b9e99c443995837d2c7530aa9b.jpg,4a51e1b9e99c443995837d2c7530aa9b.jpg,24565,False,False,False,move_to_quarantine,exact_duplicate_unreferenced
622979D0D0F630E6E848B248EACE9C5D72757CF0AECB499F38A244E80B6DBF36,1\cacfb82d00154561a8b66ed7c0718a33.jpg,C:\panda-gallery\originals\1\cacfb82d00154561a8b66ed7c0718a33.jpg,cacfb82d00154561a8b66ed7c0718a33.jpg,16697,True,False,True,keep,referenced_by_db_file_path_or_text
622979D0D0F630E6E848B248EACE9C5D72757CF0AECB499F38A244E80B6DBF36,2\ee15a7b76c674e02b3ef52733ad911e1.jpg,C:\panda-gallery\originals\2\ee15a7b76c674e02b3ef52733ad911e1.jpg,ee15a7b76c674e02b3ef52733ad911e1.jpg,16697,True,False,True,keep,referenced_by_db_file_path_or_text
622979D0D0F630E6E848B248EACE9C5D72757CF0AECB499F38A244E80B6DBF36,1\23cd22ad938f414b8a2fd48b32f2e664.jpg,C:\panda-gallery\originals\1\23cd22ad938f414b8a2fd48b32f2e664.jpg,23cd22ad938f414b8a2fd48b32f2e664.jpg,16697,False,False,False,move_to_quarantine,exact_duplicate_unreferenced
629C39ED1746C51E9D6DD39E7DD34EF34B0922ED6A83E9E55C02C353EDB3546F,1\364d8bcb47af445ba3418898df15ba3e.jpg,C:\panda-gallery\originals\1\364d8bcb47af445ba3418898df15ba3e.jpg,364d8bcb47af445ba3418898df15ba3e.jpg,27987,True,False,True,keep,referenced_by_db_file_path_or_text
629C39ED1746C51E9D6DD39E7DD34EF34B0922ED6A83E9E55C02C353EDB3546F,2\aa54b0c3795b4dadbea1148b9fb3b3dc.jpg,C:\panda-gallery\originals\2\aa54b0c3795b4dadbea1148b9fb3b3dc.jpg,aa54b0c3795b4dadbea1148b9fb3b3dc.jpg,27987,True,False,True,keep,referenced_by_db_file_path_or_text
629C39ED1746C51E9D6DD39E7DD34EF34B0922ED6A83E9E55C02C353EDB3546F,1\26a50ab675f740819716c80d85f37ad1.jpg,C:\panda-gallery\originals\1\26a50ab675f740819716c80d85f37ad1.jpg,26a50ab675f740819716c80d85f37ad1.jpg,27987,False,False,False,move_to_quarantine,exact_duplicate_unreferenced
95018D3088D30AD2C158917F76DBB63F81857FAB1468B53FDA76B809AFE6821A,1\28b1342c82074bb082013f379d469c19.jpg,C:\panda-gallery\originals\1\28b1342c82074bb082013f379d469c19.jpg,28b1342c82074bb082013f379d469c19.jpg,27485,True,False,True,keep,referenced_by_db_file_path_or_text
95018D3088D30AD2C158917F76DBB63F81857FAB1468B53FDA76B809AFE6821A,2\b92ed9b4c0374edd83a237dbd0919290.jpg,C:\panda-gallery\originals\2\b92ed9b4c0374edd83a237dbd0919290.jpg,b92ed9b4c0374edd83a237dbd0919290.jpg,27485,False,False,False,move_to_quarantine,exact_duplicate_unreferenced
39D3E34E72CD47DB771759677AA37C80DA27FF7E493F9E5BCD4EF1D7F513F57A,1\c2080d865d864e298ee1b3c7b7710a98.jpg,C:\panda-gallery\originals\1\c2080d865d864e298ee1b3c7b7710a98.jpg,c2080d865d864e298ee1b3c7b7710a98.jpg,18695,True,False,True,keep,referenced_by_db_file_path_or_text
39D3E34E72CD47DB771759677AA37C80DA27FF7E493F9E5BCD4EF1D7F513F57A,2\94fba1cc77cf4bad875eea99b98130cc.jpg,C:\panda-gallery\originals\2\94fba1cc77cf4bad875eea99b98130cc.jpg,94fba1cc77cf4bad875eea99b98130cc.jpg,18695,True,False,True,keep,referenced_by_db_file_path_or_text
39D3E34E72CD47DB771759677AA37C80DA27FF7E493F9E5BCD4EF1D7F513F57A,1\2b36ce499120455289cc8f5a19a8f9b8.jpg,C:\panda-gallery\originals\1\2b36ce499120455289cc8f5a19a8f9b8.jpg,2b36ce499120455289cc8f5a19a8f9b8.jpg,18695,False,False,False,move_to_quarantine,exact_duplicate_unreferenced
8CDB2D85D3E287AA1A055A1E592865BCC0D167CBA527CF177D9EE8DAB2F86053,1\2e6b8e073c6c47dd94bda0bf1648dab8.jpg,C:\panda-gallery\originals\1\2e6b8e073c6c47dd94bda0bf1648dab8.jpg,2e6b8e073c6c47dd94bda0bf1648dab8.jpg,19722,True,False,True,keep,referenced_by_db_file_path_or_text
8CDB2D85D3E287AA1A055A1E592865BCC0D167CBA527CF177D9EE8DAB2F86053,2\4fff525227f6410d8be5517cb7e4fa23.jpg,C:\panda-gallery\originals\2\4fff525227f6410d8be5517cb7e4fa23.jpg,4fff525227f6410d8be5517cb7e4fa23.jpg,19722,True,False,True,keep,referenced_by_db_file_path_or_text
8CDB2D85D3E287AA1A055A1E592865BCC0D167CBA527CF177D9EE8DAB2F86053,1\cc801f8219364e72a798602952b77db0.jpg,C:\panda-gallery\originals\1\cc801f8219364e72a798602952b77db0.jpg,cc801f8219364e72a798602952b77db0.jpg,19722,False,False,False,move_to_quarantine,exact_duplicate_unreferenced
425D50302C4EBC82AB459620A780A0D2BABB44F65EB4481F0E8907F1F1F2775A,1\a7511c13c46048278493eb37997f98e0.jpg,C:\panda-gallery\originals\1\a7511c13c46048278493eb37997f98e0.jpg,a7511c13c46048278493eb37997f98e0.jpg,18163,True,False,True,keep,referenced_by_db_file_path_or_text
425D50302C4EBC82AB459620A780A0D2BABB44F65EB4481F0E8907F1F1F2775A,2\28cf65ea637342d6aee2d7d4a4a35373.jpg,C:\panda-gallery\originals\2\28cf65ea637342d6aee2d7d4a4a35373.jpg,28cf65ea637342d6aee2d7d4a4a35373.jpg,18163,True,True,True,keep,referenced_by_db_file_path_or_text
425D50302C4EBC82AB459620A780A0D2BABB44F65EB4481F0E8907F1F1F2775A,1\3265a96b3ed14a8db853768b013ea3d7.jpg,C:\panda-gallery\originals\1\3265a96b3ed14a8db853768b013ea3d7.jpg,3265a96b3ed14a8db853768b013ea3d7.jpg,18163,False,False,False,move_to_quarantine,exact_duplicate_unreferenced
A9B135237FCB14A1686EB9E1163DB868A6CB10E3BA34522AB6A01430EEDED49A,1\36fddcc4872c43739f5a2497797a2eb3.jpg,C:\panda-gallery\originals\1\36fddcc4872c43739f5a2497797a2eb3.jpg,36fddcc4872c43739f5a2497797a2eb3.jpg,16571,True,True,True,keep,referenced_by_db_file_path_or_text
A9B135237FCB14A1686EB9E1163DB868A6CB10E3BA34522AB6A01430EEDED49A,2\b359b44f0cea4d75ba0332b2469f5606.jpg,C:\panda-gallery\originals\2\b359b44f0cea4d75ba0332b2469f5606.jpg,b359b44f0cea4d75ba0332b2469f5606.jpg,16571,False,False,False,move_to_quarantine,exact_duplicate_unreferenced
AEE5C27BF07D4244F54DCE2C163CF887FF3DDC528A6204744B2E7ECCBBDDF2F3,1\3bbdc827037e4d689be587541d28f0f6.jpg,C:\panda-gallery\originals\1\3bbdc827037e4d689be587541d28f0f6.jpg,3bbdc827037e4d689be587541d28f0f6.jpg,28865,True,False,True,keep,referenced_by_db_file_path_or_text
AEE5C27BF07D4244F54DCE2C163CF887FF3DDC528A6204744B2E7ECCBBDDF2F3,2\2bc85ac4a03844679cdb48cf2f0d4d80.jpg,C:\panda-gallery\originals\2\2bc85ac4a03844679cdb48cf2f0d4d80.jpg,2bc85ac4a03844679cdb48cf2f0d4d80.jpg,28865,True,True,True,keep,referenced_by_db_file_path_or_text
AEE5C27BF07D4244F54DCE2C163CF887FF3DDC528A6204744B2E7ECCBBDDF2F3,1\4ac1ff51e9de492cacee1d963502c0d5.jpg,C:\panda-gallery\originals\1\4ac1ff51e9de492cacee1d963502c0d5.jpg,4ac1ff51e9de492cacee1d963502c0d5.jpg,28865,False,False,False,move_to_quarantine,exact_duplicate_unreferenced
AEE5C27BF07D4244F54DCE2C163CF887FF3DDC528A6204744B2E7ECCBBDDF2F3,1\5dc5792a02ac4e1ab10295bf66798753.jpg,C:\panda-gallery\originals\1\5dc5792a02ac4e1ab10295bf66798753.jpg,5dc5792a02ac4e1ab10295bf66798753.jpg,28865,False,False,False,move_to_quarantine,exact_duplicate_unreferenced
8628525E58E9A22A1CA7282D0145F4FDAC0887B8249565E0B1E34F94D440E2CA,1\ec9cae29198443bba970e0201abdbfe5.jpg,C:\panda-gallery\originals\1\ec9cae29198443bba970e0201abdbfe5.jpg,ec9cae29198443bba970e0201abdbfe5.jpg,19925,True,False,True,keep,referenced_by_db_file_path_or_text
8628525E58E9A22A1CA7282D0145F4FDAC0887B8249565E0B1E34F94D440E2CA,2\d27506a96a574714a583d8f5f922e1d7.jpg,C:\panda-gallery\originals\2\d27506a96a574714a583d8f5f922e1d7.jpg,d27506a96a574714a583d8f5f922e1d7.jpg,19925,True,False,True,keep,referenced_by_db_file_path_or_text
8628525E58E9A22A1CA7282D0145F4FDAC0887B8249565E0B1E34F94D440E2CA,1\3cb4731b284f4f19bdd79a23a9aa2f12.jpg,C:\panda-gallery\originals\1\3cb4731b284f4f19bdd79a23a9aa2f12.jpg,3cb4731b284f4f19bdd79a23a9aa2f12.jpg,19925,False,False,False,move_to_quarantine,exact_duplicate_unreferenced
A8A4C0B90BFC430A54A11624889AABF408ACCB3717F21EB370C60897DE630958,1\d8a4fd6892e3458ba863829f3bef2de9.jpg,C:\panda-gallery\originals\1\d8a4fd6892e3458ba863829f3bef2de9.jpg,d8a4fd6892e3458ba863829f3bef2de9.jpg,28092,True,False,True,keep,referenced_by_db_file_path_or_text
A8A4C0B90BFC430A54A11624889AABF408ACCB3717F21EB370C60897DE630958,2\98ac3f6707b24e4abf1a8d3a3f7f5ab4.jpg,C:\panda-gallery\originals\2\98ac3f6707b24e4abf1a8d3a3f7f5ab4.jpg,98ac3f6707b24e4abf1a8d3a3f7f5ab4.jpg,28092,True,False,True,keep,referenced_by_db_file_path_or_text
A8A4C0B90BFC430A54A11624889AABF408ACCB3717F21EB370C60897DE630958,1\41704fa5c2334952aa6c09cd0332b593.jpg,C:\panda-gallery\originals\1\41704fa5c2334952aa6c09cd0332b593.jpg,41704fa5c2334952aa6c09cd0332b593.jpg,28092,False,False,False,move_to_quarantine,exact_duplicate_unreferenced
A8A4C0B90BFC430A54A11624889AABF408ACCB3717F21EB370C60897DE630958,1\eef91597aa654e1aa57ccb3037a80216.jpg,C:\panda-gallery\originals\1\eef91597aa654e1aa57ccb3037a80216.jpg,eef91597aa654e1aa57ccb3037a80216.jpg,28092,False,False,False,move_to_quarantine,exact_duplicate_unreferenced
