"Source","Destination","Hash","Size"
"C:\panda-gallery\originals\1\57a9b5bda197432c83e36c33593ca46f.jpg","C:\CODEX PG\CODEX Duplicate Image Cleanup\20260510_originals\quarantine\1\57a9b5bda197432c83e36c33593ca46f.jpg","03A9EB686F690458B6C1089E4297441DF4AB9767143A903026E6663BFB2C2354","17154"
"C:\panda-gallery\originals\2\c6282a0b3170478f806591a7f568d56c.jpg","C:\CODEX PG\CODEX Duplicate Image Cleanup\20260510_originals\quarantine\2\c6282a0b3170478f806591a7f568d56c.jpg","A7B346FCA4C873BB3B97B101BA8DA315CB0706F27A51D84D1FDFE1BFBD61F115","17068"
"C:\panda-gallery\originals\2\5e56597eea5f4fbe8ccf91470ed44ab4.jpg","C:\CODEX PG\CODEX Duplicate Image Cleanup\20260510_originals\quarantine\2\5e56597eea5f4fbe8ccf91470ed44ab4.jpg","01E0723FDE0BBBEE25DBC80F609E0C2DA1C5E3DD72CDCC1D9BC2799E0D46E1BC","28251"
"C:\panda-gallery\originals\1\7d640fee6d43495cafed0fb89d7a9e04.jpg","C:\CODEX PG\CODEX Duplicate Image Cleanup\20260510_originals\quarantine\1\7d640fee6d43495cafed0fb89d7a9e04.jpg","FF4D83D783A5705A3FB7C77A23872DBBAC589DA6D2B532DCA83A42595C2583A1","30160"
"C:\panda-gallery\originals\2\b5ed4a39127e4d50850e970f3879d473.jpg","C:\CODEX PG\CODEX Duplicate Image Cleanup\20260510_originals\quarantine\2\b5ed4a39127e4d50850e970f3879d473.jpg","BEE71D3ED2BEA2A8764CEBC10A449789B274F47137C4BAB7119550F9DE16A2A7","16169"
"C:\panda-gallery\originals\1\cc61618f0a8b4a63adb329ca25d40122.jpg","C:\CODEX PG\CODEX Duplicate Image Cleanup\20260510_originals\quarantine\1\cc61618f0a8b4a63adb329ca25d40122.jpg","299F5974CBC12F785F494CAC37479D7C3247FEF685B03E899877907322DF2D7E","28642"
"C:\panda-gallery\originals\1\e520a9daf0a64cfcbbcbcc1cfc4c83a9.jpg","C:\CODEX PG\CODEX Duplicate Image Cleanup\20260510_originals\quarantine\1\e520a9daf0a64cfcbbcbcc1cfc4c83a9.jpg","E233D9FF35E46FD40809D6B2EB1BDEFD2EB4C976442A3F56876CCAA730F592AD","25659"
"C:\panda-gallery\originals\2\4a51e1b9e99c443995837d2c7530aa9b.jpg","C:\CODEX PG\CODEX Duplicate Image Cleanup\20260510_originals\quarantine\2\4a51e1b9e99c443995837d2c7530aa9b.jpg","333D1E8EC32BE03286420526601F5D509BF5D9201AD05B6A51B23E57A1EB1B56","24565"
"C:\panda-gallery\originals\1\23cd22ad938f414b8a2fd48b32f2e664.jpg","C:\CODEX PG\CODEX Duplicate Image Cleanup\20260510_originals\quarantine\1\23cd22ad938f414b8a2fd48b32f2e664.jpg","622979D0D0F630E6E848B248EACE9C5D72757CF0AECB499F38A244E80B6DBF36","16697"
"C:\panda-gallery\originals\1\26a50ab675f740819716c80d85f37ad1.jpg","C:\CODEX PG\CODEX Duplicate Image Cleanup\20260510_originals\quarantine\1\26a50ab675f740819716c80d85f37ad1.jpg","629C39ED1746C51E9D6DD39E7DD34EF34B0922ED6A83E9E55C02C353EDB3546F","27987"
"C:\panda-gallery\originals\2\b92ed9b4c0374edd83a237dbd0919290.jpg","C:\CODEX PG\CODEX Duplicate Image Cleanup\20260510_originals\quarantine\2\b92ed9b4c0374edd83a237dbd0919290.jpg","95018D3088D30AD2C158917F76DBB63F81857FAB1468B53FDA76B809AFE6821A","27485"
"C:\panda-gallery\originals\1\2b36ce499120455289cc8f5a19a8f9b8.jpg","C:\CODEX PG\CODEX Duplicate Image Cleanup\20260510_originals\quarantine\1\2b36ce499120455289cc8f5a19a8f9b8.jpg","39D3E34E72CD47DB771759677AA37C80DA27FF7E493F9E5BCD4EF1D7F513F57A","18695"
"C:\panda-gallery\originals\1\cc801f8219364e72a798602952b77db0.jpg","C:\CODEX PG\CODEX Duplicate Image Cleanup\20260510_originals\quarantine\1\cc801f8219364e72a798602952b77db0.jpg","8CDB2D85D3E287AA1A055A1E592865BCC0D167CBA527CF177D9EE8DAB2F86053","19722"
"C:\panda-gallery\originals\1\3265a96b3ed14a8db853768b013ea3d7.jpg","C:\CODEX PG\CODEX Duplicate Image Cleanup\20260510_originals\quarantine\1\3265a96b3ed14a8db853768b013ea3d7.jpg","425D50302C4EBC82AB459620A780A0D2BABB44F65EB4481F0E8907F1F1F2775A","18163"
"C:\panda-gallery\originals\2\b359b44f0cea4d75ba0332b2469f5606.jpg","C:\CODEX PG\CODEX Duplicate Image Cleanup\20260510_originals\quarantine\2\b359b44f0cea4d75ba0332b2469f5606.jpg","A9B135237FCB14A1686EB9E1163DB868A6CB10E3BA34522AB6A01430EEDED49A","16571"
"C:\panda-gallery\originals\1\4ac1ff51e9de492cacee1d963502c0d5.jpg","C:\CODEX PG\CODEX Duplicate Image Cleanup\20260510_originals\quarantine\1\4ac1ff51e9de492cacee1d963502c0d5.jpg","AEE5C27BF07D4244F54DCE2C163CF887FF3DDC528A6204744B2E7ECCBBDDF2F3","28865"
"C:\panda-gallery\originals\1\5dc5792a02ac4e1ab10295bf66798753.jpg","C:\CODEX PG\CODEX Duplicate Image Cleanup\20260510_originals\quarantine\1\5dc5792a02ac4e1ab10295bf66798753.jpg","AEE5C27BF07D4244F54DCE2C163CF887FF3DDC528A6204744B2E7ECCBBDDF2F3","28865"
"C:\panda-gallery\originals\1\3cb4731b284f4f19bdd79a23a9aa2f12.jpg","C:\CODEX PG\CODEX Duplicate Image Cleanup\20260510_originals\quarantine\1\3cb4731b284f4f19bdd79a23a9aa2f12.jpg","8628525E58E9A22A1CA7282D0145F4FDAC0887B8249565E0B1E34F94D440E2CA","19925"
"C:\panda-gallery\originals\1\41704fa5c2334952aa6c09cd0332b593.jpg","C:\CODEX PG\CODEX Duplicate Image Cleanup\20260510_originals\quarantine\1\41704fa5c2334952aa6c09cd0332b593.jpg","A8A4C0B90BFC430A54A11624889AABF408ACCB3717F21EB370C60897DE630958","28092"
"C:\panda-gallery\originals\1\eef91597aa654e1aa57ccb3037a80216.jpg","C:\CODEX PG\CODEX Duplicate Image Cleanup\20260510_originals\quarantine\1\eef91597aa654e1aa57ccb3037a80216.jpg","A8A4C0B90BFC430A54A11624889AABF408ACCB3717F21EB370C60897DE630958","28092"
"C:\panda-gallery\originals\1\b89b911b1c394a9dbaf73475c64a45c8.jpg","C:\CODEX PG\CODEX Duplicate Image Cleanup\20260510_originals\quarantine\1\b89b911b1c394a9dbaf73475c64a45c8.jpg","962F8741E946ABF2087FCA8FD0131D1EE625C96AA9D9C77D19E8537C19B6DC52","17282"
"C:\panda-gallery\originals\1\5502027b036f4fcc93c1b13dc54a983b.jpg","C:\CODEX PG\CODEX Duplicate Image Cleanup\20260510_originals\quarantine\1\5502027b036f4fcc93c1b13dc54a983b.jpg","BB8216EFFC0EB85A59E85CE86FF651CBBD480DE8617529BB3C83C353F5C35148","19136"
"C:\panda-gallery\originals\2\d9436e70666d4f63a5cd26dfc91489fc.jpg","C:\CODEX PG\CODEX Duplicate Image Cleanup\20260510_originals\quarantine\2\d9436e70666d4f63a5cd26dfc91489fc.jpg","0F8EB9E130208E3B37FB4E4204CFE12941FC3FF25D2C60FDDCBD70A49800905C","18302"
"C:\panda-gallery\originals\2\e87d94f300984ad2aac94627c43cb7c3.jpg","C:\CODEX PG\CODEX Duplicate Image Cleanup\20260510_originals\quarantine\2\e87d94f300984ad2aac94627c43cb7c3.jpg","9C5C12B1274475D988C775B3D45669D3E0251DD4C730173E7725A916F74EAFAD","23610"
"C:\panda-gallery\originals\2\b7820066fd7045f8bea02a65d9d18b5a.jpg","C:\CODEX PG\CODEX Duplicate Image Cleanup\20260510_originals\quarantine\2\b7820066fd7045f8bea02a65d9d18b5a.jpg","D6D3D4D8CBE4C3AB83DA9DA35F9BCC19B33249964E1D39E4C16CC643F018D1B3","25873"
"C:\panda-gallery\originals\2\91d5211a00c14647ad8a996889237fa1.jpg","C:\CODEX PG\CODEX Duplicate Image Cleanup\20260510_originals\quarantine\2\91d5211a00c14647ad8a996889237fa1.jpg","73BF7847EEBC296E02861EDCDAC0757DEA1BFDB6A4F902424936261D89EE8CD9","16573"
"C:\panda-gallery\originals\2\fa50f92c36bf40ec866c6d21165541ed.jpg","C:\CODEX PG\CODEX Duplicate Image Cleanup\20260510_originals\quarantine\2\fa50f92c36bf40ec866c6d21165541ed.jpg","923873FC1424B9C6134AFD5DC50DD451BBB84B5E660CD8AE8297FB6AD4613966","26755"
"C:\panda-gallery\originals\1\faea310eea2a4ccbad5d377ffd1f0e32.jpg","C:\CODEX PG\CODEX Duplicate Image Cleanup\20260510_originals\quarantine\1\faea310eea2a4ccbad5d377ffd1f0e32.jpg","5E4865FD55DC237FF90832BAA5A154A1634A1E35761599E1D4FE5A6332BD3A48","26820"
"C:\panda-gallery\originals\1\c1a16a83fc4e4a879ab72615081e7cb7.jpg","C:\CODEX PG\CODEX Duplicate Image Cleanup\20260510_originals\quarantine\1\c1a16a83fc4e4a879ab72615081e7cb7.jpg","46BA23E4471CB4DDC15C33F34C24DBE9A63B8DC9914961508C7D5E62F52D41A7","28607"
"C:\panda-gallery\originals\2\939005a746424f4885c96767f271c607.jpg","C:\CODEX PG\CODEX Duplicate Image Cleanup\20260510_originals\quarantine\2\939005a746424f4885c96767f271c607.jpg","3C9372EA35F52F3CBD8FFF750BE6809C4655FADB9B797D7EF83373349D17D67C","16645"
"C:\panda-gallery\originals\1\bb4be2c936a04436bd8e02b0e5e8d3fc.jpg","C:\CODEX PG\CODEX Duplicate Image Cleanup\20260510_originals\quarantine\1\bb4be2c936a04436bd8e02b0e5e8d3fc.jpg","472BF01A47E4B4FAA78A0CABC3D6A30495090D2F09AF5C1B57B2D648C59154B1","30021"
"C:\panda-gallery\originals\1\b1e17e4c100541cb828aa56b8a1c9d8f.jpg","C:\CODEX PG\CODEX Duplicate Image Cleanup\20260510_originals\quarantine\1\b1e17e4c100541cb828aa56b8a1c9d8f.jpg","D1F86D16EA88915B21BFA4957DFE512CAC614BC5BF905BD6633037DC4F0E0B3F","28765"
"C:\panda-gallery\originals\2\85d868a120cd45b0b202370e08aff14a.jpg","C:\CODEX PG\CODEX Duplicate Image Cleanup\20260510_originals\quarantine\2\85d868a120cd45b0b202370e08aff14a.jpg","602B0AB18163B0F9EA58BA95C64ED05590BF7889C7BE12EDE49D05945997DA68","26722"
"C:\panda-gallery\originals\2\fa135dc13b5a49948a5e68260fe92ed0.jpg","C:\CODEX PG\CODEX Duplicate Image Cleanup\20260510_originals\quarantine\2\fa135dc13b5a49948a5e68260fe92ed0.jpg","908DE4277AF46C8EC767922E632CF2882CBF071C875BA8B134CD3A279A3A76F8","17952"
"C:\panda-gallery\originals\2\e42a0c19b9204c04916edc81b9a71d01.jpg","C:\CODEX PG\CODEX Duplicate Image Cleanup\20260510_originals\quarantine\2\e42a0c19b9204c04916edc81b9a71d01.jpg","0033667B5802B76C4D1B3E190F19AB5828BBAB19EB8130B4CF6C6E46C49C853D","26556"
